2024-01-01	1	甲子
2024-01-02	2	乙丑
2024-01-04	4	丁卯
2024-01-05	5	戊辰
2024-01-06	6	己巳
2024-01-09	2	壬申
2024-01-11	4	甲戌
2024-01-12	5	乙亥
2024-01-16	2	己卯
2024-01-17	3	庚辰
2024-01-21	0	甲申
2024-01-22	1	乙酉
2024-01-23	2	丙戌
2024-01-24	3	丁亥
2024-01-31	3	甲午
2024-02-01	4	乙未
2024-02-05	1	己亥
2024-02-08	4	壬寅
2024-02-09	5	癸卯
2024-02-11	0	乙巳
2024-02-13	2	丁未
2024-02-15	4	己酉
2024-02-20	2	甲寅
2024-02-21	3	乙卯
2024-02-26	1	庚申
2024-03-01	5	甲子
2024-03-02	6	乙丑
2024-03-04	1	丁卯
2024-03-05	2	戊辰
2024-03-06	3	己巳
2024-03-09	6	壬申
2024-03-11	1	甲戌
2024-03-12	2	乙亥
2024-03-16	6	己卯
2024-03-17	0	庚辰
2024-03-21	4	甲申
2024-03-22	5	乙酉
2024-03-23	6	丙戌
2024-03-24	0	丁亥
2024-03-31	0	甲午
2024-04-01	1	乙未
2024-04-05	5	己亥
2024-04-08	1	壬寅
2024-04-09	2	癸卯
2024-04-11	4	乙巳
2024-04-13	6	丁未
2024-04-15	1	己酉
2024-04-20	6	甲寅
2024-04-21	0	乙卯
2024-04-26	5	庚申
2024-04-30	2	甲子
2024-05-01	3	乙丑
2024-05-03	5	丁卯
2024-05-04	6	戊辰
2024-05-05	0	己巳
2024-05-08	3	壬申
2024-05-10	5	甲戌
2024-05-11	6	乙亥
2024-05-15	3	己卯
2024-05-16	4	庚辰
2024-05-20	1	甲申
2024-05-21	2	乙酉
2024-05-22	3	丙戌
2024-05-23	4	丁亥
2024-05-30	4	甲午
2024-05-31	5	乙未
2024-06-04	2	己亥
2024-06-07	5	壬寅
2024-06-08	6	癸卯
2024-06-10	1	乙巳
2024-06-12	3	丁未
2024-06-14	5	己酉
2024-06-19	3	甲寅
2024-06-20	4	乙卯
2024-06-25	2	庚申
2024-06-29	6	甲子
2024-06-30	0	乙丑
2024-07-02	2	丁卯
2024-07-03	3	戊辰
2024-07-04	4	己巳
2024-07-07	0	壬申
2024-07-09	2	甲戌
2024-07-10	3	乙亥
2024-07-14	0	己卯
2024-07-15	1	庚辰
2024-07-19	5	甲申
2024-07-20	6	乙酉
2024-07-21	0	丙戌
2024-07-22	1	丁亥
2024-07-29	1	甲午
2024-07-30	2	乙未
2024-08-03	6	己亥
2024-08-06	2	壬寅
2024-08-07	3	癸卯
2024-08-09	5	乙巳
2024-08-11	0	丁未
2024-08-13	2	己酉
2024-08-18	0	甲寅
2024-08-19	1	乙卯
2024-08-24	6	庚申
2024-08-28	3	甲子
2024-08-29	4	乙丑
2024-08-31	6	丁卯
2024-09-01	0	戊辰
2024-09-02	1	己巳
2024-09-05	4	壬申
2024-09-07	6	甲戌
2024-09-08	0	乙亥
2024-09-12	4	己卯
2024-09-13	5	庚辰
2024-09-17	2	甲申
2024-09-18	3	乙酉
2024-09-19	4	丙戌
2024-09-20	5	丁亥
2024-09-27	5	甲午
2024-09-28	6	乙未
2024-10-02	3	己亥
2024-10-05	6	壬寅
2024-10-06	0	癸卯
2024-10-08	2	乙巳
2024-10-10	4	丁未
2024-10-12	6	己酉
2024-10-17	4	甲寅
2024-10-18	5	乙卯
2024-10-23	3	庚申
2024-10-27	0	甲子
2024-10-28	1	乙丑
2024-10-30	3	丁卯
2024-10-31	4	戊辰
2024-11-01	5	己巳
2024-11-04	1	壬申
2024-11-06	3	甲戌
2024-11-07	4	乙亥
2024-11-11	1	己卯
2024-11-12	2	庚辰
2024-11-16	6	甲申
2024-11-17	0	乙酉
2024-11-18	1	丙戌
2024-11-19	2	丁亥
2024-11-26	2	甲午
2024-11-27	3	乙未
2024-12-01	0	己亥
2024-12-04	3	壬寅
2024-12-05	4	癸卯
2024-12-07	6	乙巳
2024-12-09	1	丁未
2024-12-11	3	己酉
2024-12-16	1	甲寅
2024-12-17	2	乙卯
2024-12-22	0	庚申
2024-12-26	4	甲子
2024-12-27	5	乙丑
2024-12-29	0	丁卯
2024-12-30	1	戊辰
2024-12-31	2	己巳
